description,development-plan-document,document-url,development-plan-types,development-policies,end-date,entry-date,geographies,name,notes,organisations,start-date,slug
Bierton with Broughton Parish,neigh-plan-buc-biertonbroughtonndp,,,,,2020-12-09,E04001462,Bierton with Broughton Neighbourhood Plan,,local-authority-eng:AYL,2016-09-07,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-biertonbroughtonndp
Bierton with Broughton Parish,neigh-plan-buc-biertonbroughtonndp,,,,,2020-12-09,E04001462,Bierton with Broughton Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-biertonbroughtonndp
Bledlow-cum-Saunderton Parish,neigh-plan-buc-bledlowcumsaundertonndp,https://www.wycombe.gov.uk/uploads/public/documents/Planning/Neighbourhood-planning/Bledlow-cum-Saunderton-Adopted-Neighbourhood-Plan.pdf,,bledlowcumsaundertonndp-P1;bledlowcumsaundertonndp-P2;bledlowcumsaundertonndp-P3;bledlowcumsaundertonndp-P4;bledlowcumsaundertonndp-P5;bledlowcumsaundertonndp-P6;bledlowcumsaundertonndp-P7;bledlowcumsaundertonndp-P8;bledlowcumsaundertonndp-P9;bledlowcumsaundertonndp-P10;bledlowcumsaundertonndp-P11;bledlowcumsaundertonndp-P12;bledlowcumsaundertonndp-P13;bledlowcumsaundertonndp-P14,2033-12-31,2020-12-09,E04001592,Bledlow-cum-Saunderton Neighbourhood Plan 2016-2033,,local-authority-eng:WYO,2017-01-01,/development-plan-document/local-authority-eng/WYO/neigh-plan-buc-bledlowcumsaundertonndp
Bledlow-cum-Saunderton Parish,neigh-plan-buc-bledlowcumsaundertonndp,https://www.wycombe.gov.uk/uploads/public/documents/Planning/Neighbourhood-planning/Bledlow-cum-Saunderton-Adopted-Neighbourhood-Plan.pdf,,bledlowcumsaundertonndp-P1;bledlowcumsaundertonndp-P2;bledlowcumsaundertonndp-P3;bledlowcumsaundertonndp-P4;bledlowcumsaundertonndp-P5;bledlowcumsaundertonndp-P6;bledlowcumsaundertonndp-P7;bledlowcumsaundertonndp-P8;bledlowcumsaundertonndp-P9;bledlowcumsaundertonndp-P10;bledlowcumsaundertonndp-P11;bledlowcumsaundertonndp-P12;bledlowcumsaundertonndp-P13;bledlowcumsaundertonndp-P14,2033-12-31,2020-12-09,E04001592,Bledlow-cum-Saunderton Neighbourhood Plan 2016-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-bledlowcumsaundertonndp
Buckingham Town,neigh-plan-buc-buckinghamndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/BNDP%20Made%20Version%20October%202015%20Rev%20A.pdf,,buckinghamndp-HP1;buckinghamndp-HP2;buckinghamndp-HP3;buckinghamndp-HP4;buckinghamndp-HP5;buckinghamndp-HP6;buckinghamndp-HP7;buckinghamndp-DHE1;buckinghamndp-DHE2;buckinghamndp-DHE3;buckinghamndp-DHE4;buckinghamndp-DHE5;buckinghamndp-DHE6;buckinghamndp-CLH1;buckinghamndp-CLH2;buckinghamndp-CLH3;buckinghamndp-CLH4;buckinghamndp-CLH5;buckinghamndp-CLH6;buckinghamndp-CLH7;buckinghamndp-CLH8;buckinghamndp-EE1;buckinghamndp-EE2;buckinghamndp-EE3;buckinghamndp-EE4;buckinghamndp-EE5;buckinghamndp-EE6;buckinghamndp-EE7;buckinghamndp-EE8;buckinghamndp-I1;buckinghamndp-I2;buckinghamndp-I3;buckinghamndp-I4;buckinghamndp-I5;buckinghamndp-SR1;buckinghamndp-SR2;buckinghamndp-SR3;buckinghamndp-SR4;buckinghamndp-SR5;buckinghamndp-SR6;buckinghamndp-SR7,2031-12-31,2020-12-08,E04001465,Buckingham Neighbourhood Plan,,local-authority-eng:AYL,2015-09-30,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-buckinghamndp
Buckingham Town,neigh-plan-buc-buckinghamndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/BNDP%20Made%20Version%20October%202015%20Rev%20A.pdf,,buckinghamndp-HP1;buckinghamndp-HP2;buckinghamndp-HP3;buckinghamndp-HP4;buckinghamndp-HP5;buckinghamndp-HP6;buckinghamndp-HP7;buckinghamndp-DHE1;buckinghamndp-DHE2;buckinghamndp-DHE3;buckinghamndp-DHE4;buckinghamndp-DHE5;buckinghamndp-DHE6;buckinghamndp-CLH1;buckinghamndp-CLH2;buckinghamndp-CLH3;buckinghamndp-CLH4;buckinghamndp-CLH5;buckinghamndp-CLH6;buckinghamndp-CLH7;buckinghamndp-CLH8;buckinghamndp-EE1;buckinghamndp-EE2;buckinghamndp-EE3;buckinghamndp-EE4;buckinghamndp-EE5;buckinghamndp-EE6;buckinghamndp-EE7;buckinghamndp-EE8;buckinghamndp-I1;buckinghamndp-I2;buckinghamndp-I3;buckinghamndp-I4;buckinghamndp-I5;buckinghamndp-SR1;buckinghamndp-SR2;buckinghamndp-SR3;buckinghamndp-SR4;buckinghamndp-SR5;buckinghamndp-SR6;buckinghamndp-SR7,2031-12-31,2020-12-08,E04001465,Buckingham Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-buckinghamndp
Buckland Parish,neigh-plan-buc-bucklandndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Buckland%20Neighbourhood%20Plan%20Referendum%20Version.pdf,,bucklandndp-BP1;bucklandndp-BP2;bucklandndp-BP3;bucklandndp-BP4;bucklandndp-BP5;bucklandndp-BP6;bucklandndp-BP7;bucklandndp-BP8;bucklandndp-BP9;bucklandndp-BP10;bucklandndp-BP11;bucklandndp-BP12;bucklandndp-BP13;bucklandndp-BP14;bucklandndp-BP15,2033-12-31,2020-12-08,E04001466,Buckland Neighbourhood Plan,,local-authority-eng:AYL,2016-03-04,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-bucklandndp
Buckland Parish,neigh-plan-buc-bucklandndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Buckland%20Neighbourhood%20Plan%20Referendum%20Version.pdf,,bucklandndp-BP1;bucklandndp-BP2;bucklandndp-BP3;bucklandndp-BP4;bucklandndp-BP5;bucklandndp-BP6;bucklandndp-BP7;bucklandndp-BP8;bucklandndp-BP9;bucklandndp-BP10;bucklandndp-BP11;bucklandndp-BP12;bucklandndp-BP13;bucklandndp-BP14;bucklandndp-BP15,2033-12-31,2020-12-08,E04001466,Buckland Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-bucklandndp
Burnham Parish,neigh-plan-buc-burnhamndp,,,,,2020-12-09,E04001581,Burnham Neighbourhood Plan,,local-authority-eng:SBU,2018-05-17,/development-plan-document/local-authority-eng/SBU/neigh-plan-buc-burnhamndp
Burnham Parish,neigh-plan-buc-burnhamndp,,,,,2020-12-09,E04001581,Burnham Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-burnhamndp
Calvert Green Parish,neigh-plan-buc-calvertgreenndp,,,,,2020-12-09,E04001562,Calvert Green Neighbourhood Plan,,local-authority-eng:AYL,,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-calvertgreenndp
Calvert Green Parish,neigh-plan-buc-calvertgreenndp,,,,,2020-12-09,E04001562,Calvert Green Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-calvertgreenndp
Chalfont St Giles Parish,neigh-plan-buc-chalfontstgilesndp,https://chiltern.gov.uk/planning/chalfontstgiles,,chalfontstgilesndp-HP1;chalfontstgilesndp-HP2;chalfontstgilesndp-CFP1;chalfontstgilesndp-EP1;chalfontstgilesndp-NEP1;chalfontstgilesndp-NEP2;chalfontstgilesndp-HEP1;chalfontstgilesndp-DP1,2036-12-31,2020-12-09,E04001565,Neighbourhood Plan for Chalfont St Giles Parish,,local-authority-eng:CHN,2019-07-23,/development-plan-document/local-authority-eng/CHN/neigh-plan-buc-chalfontstgilesndp
Chalfont St Giles Parish,neigh-plan-buc-chalfontstgilesndp,https://chiltern.gov.uk/planning/chalfontstgiles,,chalfontstgilesndp-HP1;chalfontstgilesndp-HP2;chalfontstgilesndp-CFP1;chalfontstgilesndp-EP1;chalfontstgilesndp-NEP1;chalfontstgilesndp-NEP2;chalfontstgilesndp-HEP1;chalfontstgilesndp-DP1,2036-12-31,2020-12-09,E04001565,Neighbourhood Plan for Chalfont St Giles Parish,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-chalfontstgilesndp
Chalfont St Peter Parish,neigh-plan-buc-chalfontstpeterndp,https://chiltern.gov.uk/planning/chalfontstpeter,,chalfontstpeterndp-VC1;chalfontstpeterndp-VC2;chalfontstpeterndp-VC3;chalfontstpeterndp-VC4;chalfontstpeterndp-VC5;chalfontstpeterndp-VC6;chalfontstpeterndp-H1;chalfontstpeterndp-H2;chalfontstpeterndp-H3;chalfontstpeterndp-H4;chalfontstpeterndp-H5;chalfontstpeterndp-H6;chalfontstpeterndp-H7;chalfontstpeterndp-O1;chalfontstpeterndp-O2;chalfontstpeterndp-LC1;chalfontstpeterndp-LC2;chalfontstpeterndp-LC3;chalfontstpeterndp-MP1;chalfontstpeterndp-MP2;chalfontstpeterndp-MP3;chalfontstpeterndp-PWI1;chalfontstpeterndp-PWI2,2028-12-31,2020-12-09,E04001566,Chalfont St Peter Neighbourhood Plan 2013-2028,,local-authority-eng:CHN,2016-11-15,/development-plan-document/local-authority-eng/CHN/neigh-plan-buc-chalfontstpeterndp
Chalfont St Peter Parish,neigh-plan-buc-chalfontstpeterndp,https://chiltern.gov.uk/planning/chalfontstpeter,,chalfontstpeterndp-VC1;chalfontstpeterndp-VC2;chalfontstpeterndp-VC3;chalfontstpeterndp-VC4;chalfontstpeterndp-VC5;chalfontstpeterndp-VC6;chalfontstpeterndp-H1;chalfontstpeterndp-H2;chalfontstpeterndp-H3;chalfontstpeterndp-H4;chalfontstpeterndp-H5;chalfontstpeterndp-H6;chalfontstpeterndp-H7;chalfontstpeterndp-O1;chalfontstpeterndp-O2;chalfontstpeterndp-LC1;chalfontstpeterndp-LC2;chalfontstpeterndp-LC3;chalfontstpeterndp-MP1;chalfontstpeterndp-MP2;chalfontstpeterndp-MP3;chalfontstpeterndp-PWI1;chalfontstpeterndp-PWI2,2028-12-31,2020-12-09,E04001566,Chalfont St Peter Neighbourhood Plan 2013-2028,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-chalfontstpeterndp
Cheddington Parish,neigh-plan-buc-cheddingtonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Cheddington%20NP_Final%20Version%20Post%20Examiner%2014.08.15.pdf,,cheddingtonndp-P1;cheddingtonndp-P2;cheddingtonndp-P3;cheddingtonndp-P4;cheddingtonndp-P5;cheddingtonndp-P6;cheddingtonndp-P7,2033-03-31,2020-12-08,E04001469,Cheddington Neighbourhood Plan 2015-2033,,local-authority-eng:AYL,2015-09-25,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-cheddingtonndp
Cheddington Parish,neigh-plan-buc-cheddingtonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Cheddington%20NP_Final%20Version%20Post%20Examiner%2014.08.15.pdf,,cheddingtonndp-P1;cheddingtonndp-P2;cheddingtonndp-P3;cheddingtonndp-P4;cheddingtonndp-P5;cheddingtonndp-P6;cheddingtonndp-P7,2033-03-31,2020-12-08,E04001469,Cheddington Neighbourhood Plan 2015-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-cheddingtonndp
Chesham Town,neigh-plan-buc-cheshamndp,,,,,2020-12-09,E04001569,Chesham Neighbourhood Plan,,local-authority-eng:CHN,2020-01-14,/development-plan-document/local-authority-eng/CHN/neigh-plan-buc-cheshamndp
Chesham Town,neigh-plan-buc-cheshamndp,,,,,2020-12-09,E04001569,Chesham Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-cheshamndp
Chilton Parish,neigh-plan-buc-chiltonndp,,,,,2020-12-09,E04001471,Chilton Neighbourhood Plan,,local-authority-eng:CHN,2014-02-24,/development-plan-document/local-authority-eng/CHN/neigh-plan-buc-chiltonndp
Chilton Parish,neigh-plan-buc-chiltonndp,,,,,2020-12-09,E04001471,Chilton Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-chiltonndp
Cuddington Parish,neigh-plan-buc-cuddingtonndp,,,,,2020-12-09,E04001474,Cuddington Neighbourhood Plan,,local-authority-eng:AYL,2018-04-05,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-cuddingtonndp
Cuddington Parish,neigh-plan-buc-cuddingtonndp,,,,,2020-12-09,E04001474,Cuddington Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-cuddingtonndp
Daws Hill Forum,neigh-plan-buc-dawshillndp,https://www.wycombe.gov.uk/uploads/public/documents/Planning/Neighbourhood-planning/Adopted-Daws-Hill-Neighbourhood-Plan.pdf,,dawshillndp-P1;dawshillndp-P2;dawshillndp-P3;dawshillndp-P4;dawshillndp-P5;dawshillndp-P6;dawshillndp-P7;dawshillndp-P8,2033-12-31,2020-12-09,GIS - 19NPDawsHill,The Daws Hill Neighbourhood Plan December 2019,,local-authority-eng:WYO,2019-12-12,/development-plan-document/local-authority-eng/WYO/neigh-plan-buc-dawshillndp
Daws Hill Forum,neigh-plan-buc-dawshillndp,https://www.wycombe.gov.uk/uploads/public/documents/Planning/Neighbourhood-planning/Adopted-Daws-Hill-Neighbourhood-Plan.pdf,,dawshillndp-P1;dawshillndp-P2;dawshillndp-P3;dawshillndp-P4;dawshillndp-P5;dawshillndp-P6;dawshillndp-P7;dawshillndp-P8,2033-12-31,2020-12-09,GIS - 19NPDawsHill,The Daws Hill Neighbourhood Plan December 2019,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-dawshillndp
Denham Parish,neigh-plan-buc-denhamndp,,,,,2020-12-09,E04001582,Denham Parish Neighbourhood Plan,,local-authority-eng:SBU,2017-09-12,/development-plan-document/local-authority-eng/SBU/neigh-plan-buc-denhamndp
Denham Parish,neigh-plan-buc-denhamndp,,,,,2020-12-09,E04001582,Denham Parish Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-denhamndp
Dinton with Ford and Upton Parish,neigh-plan-buc-dintonforduptonndp,,,,,2020-12-09,E04001475,Dinton with Ford and Upton Neighbourhood Plan,,local-authority-eng:AYL,2013-02-04,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-dintonforduptonndp
Dinton with Ford and Upton Parish,neigh-plan-buc-dintonforduptonndp,,,,,2020-12-09,E04001475,Dinton with Ford and Upton Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-dintonforduptonndp
Drayton Parslow Parish,neigh-plan-buc-draytonparslowndp,,,,,2020-12-09,E04001478,Drayton Parslow Neighbourhood Plan,,local-authority-eng:AYL,2016-07-18,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-draytonparslowndp
Drayton Parslow Parish,neigh-plan-buc-draytonparslowndp,,,,,2020-12-09,E04001478,Drayton Parslow Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-draytonparslowndp
Edlesborough Parish,neigh-plan-buc-edlesboroughndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Edlesborough%20NP%20Referendum%20Version.pdf,,edlesboroughndp-EP1;edlesboroughndp-EP2;edlesboroughndp-EP3;edlesboroughndp-EP4;edlesboroughndp-EP5;edlesboroughndp-EP6;edlesboroughndp-EP7;edlesboroughndp-EP8;edlesboroughndp-EP9;edlesboroughndp-EP10;edlesboroughndp-EP11;edlesboroughndp-EP12,2033-03-31,2020-12-08,E04001482,Edlesborough Neighbourhood Plan 2013-2033,,local-authority-eng:AYL,2017-10-16,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-edlesboroughndp
Edlesborough Parish,neigh-plan-buc-edlesboroughndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Edlesborough%20NP%20Referendum%20Version.pdf,,edlesboroughndp-EP1;edlesboroughndp-EP2;edlesboroughndp-EP3;edlesboroughndp-EP4;edlesboroughndp-EP5;edlesboroughndp-EP6;edlesboroughndp-EP7;edlesboroughndp-EP8;edlesboroughndp-EP9;edlesboroughndp-EP10;edlesboroughndp-EP11;edlesboroughndp-EP12,2033-03-31,2020-12-08,E04001482,Edlesborough Neighbourhood Plan 2013-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-edlesboroughndp
Farnham Royal Parish,neigh-plan-buc-farnhamroyalndp,,,,,2020-12-09,E04001584,Farnham Royal Neighbourhood Plan,,local-authority-eng:SBU,2016-09-28,/development-plan-document/local-authority-eng/SBU/neigh-plan-buc-farnhamroyalndp
Farnham Royal Parish,neigh-plan-buc-farnhamroyalndp,,,,,2020-12-09,E04001584,Farnham Royal Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-farnhamroyalndp
Fulmer Parish,neigh-plan-buc-fulmerndp,,,,,2020-12-09,E04001585,Fulmer Neighbourhood Plan,,local-authority-eng:SBU,2019-05-24,/development-plan-document/local-authority-eng/SBU/neigh-plan-buc-fulmerndp
Fulmer Parish,neigh-plan-buc-fulmerndp,,,,,2020-12-09,E04001585,Fulmer Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-fulmerndp
Gerrards Cross Parish,neigh-plan-buc-gerrardscrossndp,,,,,2020-12-09,E04001586,Gerrards Cross Neighbourhood Plan,,local-authority-eng:SBU,2016-09-22,/development-plan-document/local-authority-eng/SBU/neigh-plan-buc-gerrardscrossndp
Gerrards Cross Parish,neigh-plan-buc-gerrardscrossndp,,,,,2020-12-09,E04001586,Gerrards Cross Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-gerrardscrossndp
Granborough Parish,neigh-plan-buc-granboroughndp,,,,,2020-12-09,E04001486,Granborough Neighbourhood Plan,,local-authority-eng:AYL,2018-08-21,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-granboroughndp
Granborough Parish,neigh-plan-buc-granboroughndp,,,,,2020-12-09,E04001486,Granborough Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-granboroughndp
Great Horwood Parish,neigh-plan-buc-greathorwoodndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Great-Horwood-Parish-Neighbourhood-Plan-MADE-March-2015-.pdf,,greathorwoodndp-P1;greathorwoodndp-P2;greathorwoodndp-P3;greathorwoodndp-P4,2031-03-31,2020-12-08,E04001488,Green Horwood Parish Neighbourhood Plan 2014-2031,,local-authority-eng:AYL,2015-03-16,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-greathorwoodndp
Great Horwood Parish,neigh-plan-buc-greathorwoodndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Great-Horwood-Parish-Neighbourhood-Plan-MADE-March-2015-.pdf,,greathorwoodndp-P1;greathorwoodndp-P2;greathorwoodndp-P3;greathorwoodndp-P4,2031-03-31,2020-12-08,E04001488,Green Horwood Parish Neighbourhood Plan 2014-2031,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-greathorwoodndp
Kimble Parish,neigh-plan-buc-greatlittlekimblecumilmerndp,https://www.wycombe.gov.uk/uploads/public/documents/About-the-council/Have-your-say/Consultations/Great-and-Little-Kimble-cum-Marsh-NP/Great-and-Little-Kimble-cum-Marsh-neighbourhood-plan-submission-version.pdf,,greatlittlekimblecumilmerndp-KIM1;greatlittlekimblecumilmerndp-KIM2;greatlittlekimblecumilmerndp-KIM3;greatlittlekimblecumilmerndp-KIM4;greatlittlekimblecumilmerndp-KIM5;greatlittlekimblecumilmerndp-KIM6;greatlittlekimblecumilmerndp-KIM7;greatlittlekimblecumilmerndp-KIM8;greatlittlekimblecumilmerndp-KIM9,2033-12-31,2020-12-09,E04001599,Great and Little Kimble-cum-Marsh Neighbourhood Plan 2013-2033,,local-authority-eng:WYO,2019-11-01,/development-plan-document/local-authority-eng/WYO/neigh-plan-buc-greatlittlekimblecumilmerndp
Kimble Parish,neigh-plan-buc-greatlittlekimblecumilmerndp,https://www.wycombe.gov.uk/uploads/public/documents/About-the-council/Have-your-say/Consultations/Great-and-Little-Kimble-cum-Marsh-NP/Great-and-Little-Kimble-cum-Marsh-neighbourhood-plan-submission-version.pdf,,greatlittlekimblecumilmerndp-KIM1;greatlittlekimblecumilmerndp-KIM2;greatlittlekimblecumilmerndp-KIM3;greatlittlekimblecumilmerndp-KIM4;greatlittlekimblecumilmerndp-KIM5;greatlittlekimblecumilmerndp-KIM6;greatlittlekimblecumilmerndp-KIM7;greatlittlekimblecumilmerndp-KIM8;greatlittlekimblecumilmerndp-KIM9,2033-12-31,2020-12-09,E04001599,Great and Little Kimble-cum-Marsh Neighbourhood Plan 2013-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-greatlittlekimblecumilmerndp
Haddenham Parish,neigh-plan-buc-haddenhamndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Haddenham%20NP%20March%202016.pdf,,haddenhamndp-TGA1;haddenhamndp-TGA2;haddenhamndp-TGA3;haddenhamndp-CES1;haddenhamndp-HWS1;haddenhamndp-HWS2;haddenhamndp-SRL1;haddenhamndp-SRL2;haddenhamndp-SRL3;haddenhamndp-RBJ1,2033-12-31,2020-12-08,E04001490,Haddenham Neighbourhood Plan 2013-2033,,local-authority-eng:AYL,2015-09-11,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-haddenhamndp
Haddenham Parish,neigh-plan-buc-haddenhamndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Haddenham%20NP%20March%202016.pdf,,haddenhamndp-TGA1;haddenhamndp-TGA2;haddenhamndp-TGA3;haddenhamndp-CES1;haddenhamndp-HWS1;haddenhamndp-HWS2;haddenhamndp-SRL1;haddenhamndp-SRL2;haddenhamndp-SRL3;haddenhamndp-RBJ1,2033-12-31,2020-12-08,E04001490,Haddenham Neighbourhood Plan 2013-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-haddenhamndp
Halton Parish,neigh-plan-buc-haltonndp,,,,,2020-12-09,E04001491,Halton Neighbourhood Plan,,local-authority-eng:AYL,2016-10-04,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-haltonndp
Halton Parish,neigh-plan-buc-haltonndp,,,,,2020-12-09,E04001491,Halton Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-haltonndp
Hedgerley Parish,neigh-plan-buc-hedgerleyndp,,,,,2020-12-09,E04001587,Hedgerley Neighbourhood Plan,,local-authority-eng:SBU,2017-02-12,/development-plan-document/local-authority-eng/SBU/neigh-plan-buc-hedgerleyndp
Hedgerley Parish,neigh-plan-buc-hedgerleyndp,,,,,2020-12-09,E04001587,Hedgerley Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-hedgerleyndp
Ickford Parish,neigh-plan-buc-ickfordndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/IckfordSubmissionNeighbourhoodPlanNOV2019.pdf,,ickfordndp-NE1;ickfordndp-NE2;ickfordndp-NE3;ickfordndp-BEH1;ickfordndp-BEH2;ickfordndp-BEH3;ickfordndp-BEH4;ickfordndp-F1;ickfordndp-ND1;ickfordndp-ND2;ickfordndp-ND3;ickfordndp-ND4;ickfordndp-TT1;ickfordndp-E1;ickfordndp-CF1,2033-12-31,2020-12-08,E04001497,Ickford Neighbourhood Plan 2019-2033,,local-authority-eng:AYL,2019-11-15,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-ickfordndp
Ickford Parish,neigh-plan-buc-ickfordndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/IckfordSubmissionNeighbourhoodPlanNOV2019.pdf,,ickfordndp-NE1;ickfordndp-NE2;ickfordndp-NE3;ickfordndp-BEH1;ickfordndp-BEH2;ickfordndp-BEH3;ickfordndp-BEH4;ickfordndp-F1;ickfordndp-ND1;ickfordndp-ND2;ickfordndp-ND3;ickfordndp-ND4;ickfordndp-TT1;ickfordndp-E1;ickfordndp-CF1,2033-12-31,2020-12-08,E04001497,Ickford Neighbourhood Plan 2019-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-ickfordndp
Iver Parish,neigh-plan-buc-iverndp,,,,,2020-12-09,E04001588,Iver Neighbourhood Plan,,local-authority-eng:SBU,2016-11-18,/development-plan-document/local-authority-eng/SBU/neigh-plan-buc-iverndp
Iver Parish,neigh-plan-buc-iverndp,,,,,2020-12-09,E04001588,Iver Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-iverndp
Ivinghoe Parish,neigh-plan-buc-ivinghoendp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/IPNP%20Referendum%20Version%20FINAL.pdf,,ivinghoendp-HSG1;ivinghoendp-HSG2;ivinghoendp-ENV1;ivinghoendp-ENV2;ivinghoendp-ENV3;ivinghoendp-TRA1;ivinghoendp-TRA2;ivinghoendp-REC1;ivinghoendp-REC2;ivinghoendp-TEL1;ivinghoendp-BUS1,2033-12-31,2020-12-08,E04001498,Ivinghoe Parish Neighbourhood Plan 2014-2033,,local-authority-eng:AYL,2018-12-14,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-ivinghoendp
Ivinghoe Parish,neigh-plan-buc-ivinghoendp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/IPNP%20Referendum%20Version%20FINAL.pdf,,ivinghoendp-HSG1;ivinghoendp-HSG2;ivinghoendp-ENV1;ivinghoendp-ENV2;ivinghoendp-ENV3;ivinghoendp-TRA1;ivinghoendp-TRA2;ivinghoendp-REC1;ivinghoendp-REC2;ivinghoendp-TEL1;ivinghoendp-BUS1,2033-12-31,2020-12-08,E04001498,Ivinghoe Parish Neighbourhood Plan 2014-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-ivinghoendp
